"n","lambda","rep","mse_e","mse_m0","mse_m1","num_leaves_e","num_leaves_m0","num_leaves_m1"
3200,0.05,13,5.36395178742472e-05,0.000669863400517305,0.000601138641731892,0,0,0
400,0.1,13,0.00148313657834386,0.00863184649822336,0.00347512802467807,0,0,0
800,0.1,13,0.00261865360422133,0.00109620077833691,0.00603330514560749,0,0,0
1600,0.1,13,0.00140517737081076,0.00293806960373879,0.000140694214856523,0,0,0
3200,0.1,13,0.000139736138270363,0.000871726383706843,6.14151436040411e-05,0,0,0
400,0.2,13,0.00416223575488075,0.00941390380384972,0.00655353310787787,0,0,0
800,0.2,13,0.00224269046696344,0.0035322167943825,0.00276665800875735,0,0,0
1600,0.2,13,0.000520804901179591,0.000534943593286931,0.00137155001831839,0,0,0
3200,0.2,13,0.000537242699942342,0.000320529141950294,0.000709735959830292,0,0,0
400,0.5,13,0.00791848095722897,0.0102792669839514,0.00523031202754709,0,0,0
800,0.5,13,0.00172503878658637,0.00368775776397349,0.00509397508886123,0,0,0
1600,0.5,13,0.000393243651565695,0.000880557559441545,0.00103172219678986,0,0,0
3200,0.5,13,9.3389046108952e-05,0.00056927293108006,0.000491341497993086,0,0,0
400,0.01,14,0.00408044777465482,0.0106061150884093,0.0139499882732845,0,0,0
800,0.01,14,0.0012496327805126,0.0044382202784168,0.000984300779728723,0,0,0
1600,0.01,14,0.000823289588714807,0.00212697719225348,0.00120191504812847,0,0,0
3200,0.01,14,0.000447827140611278,0.000708923263455086,0.000757796579220925,0,0,0
400,0.05,14,0.00747607056819029,0.00578362500919538,0.00277264561293107,0,0,0
800,0.05,14,0.00177818528565115,0.00304154775488996,0.000219372786121805,0,0,0
1600,0.05,14,0.000392621173724005,0.000594794641631862,0.00330617008516511,0,0,0
3200,0.05,14,0.000402530191099246,0.00154173869810432,0.00050446278923027,0,0,0
400,0.1,14,0.007374180473496,0.00799151829649054,0.00351986706957806,0,0,0
800,0.1,14,0.000837135172077818,0.011841126717323,0.00089998680504562,0,0,0
1600,0.1,14,0.00111613749851753,0.000694078637885789,0.00309737872034216,0,0,0
3200,0.1,14,0.000374365440343738,0.00134257478692203,0.00146400639044406,0,0,0
400,0.2,14,0.00317645597433665,0.0175870183424535,0.00718667813402169,0,0,0
800,0.2,14,0.00238880333332506,0.00312006006103009,0.00377236775646961,0,0,0
1600,0.2,14,0.000316967571093604,0.00132040130430466,0.00284901445228288,0,0,0
3200,0.2,14,0.000593834849950238,0.00130410753906349,0.00124034558032476,0,0,0
400,0.5,14,0.00189360463025541,0.00587850212289841,0.000792641286845385,0,0,0
800,0.5,14,0.00113117518437004,0.0016237102001816,0.000997931543295582,0,0,0
1600,0.5,14,0.00265703544876661,0.000852589551465558,0.00307218430671212,0,0,0
3200,0.5,14,0.00121233694515204,0.000439207753208216,0.00102109699558871,0,0,0
400,0.01,15,0.000775271048249015,0.0102554699493018,0.0068486044443087,0,0,0
800,0.01,15,0.00131818338671089,0.000402808558360586,0.00064320294295706,0,0,0
1600,0.01,15,0.000707293786300297,0.0034695058931382,0.00177528743755491,0,0,0
3200,0.01,15,0.000153027909796762,0.000647488660700214,0.000435523515267129,0,0,0
400,0.05,15,0.00169692891601948,0.0095156608591545,0.000258732215853542,0,0,0
800,0.05,15,0.00295222456292397,0.00521517110647449,0.00167651978526569,0,0,0
1600,0.05,15,0.000644741959087243,0.00128902801096302,0.00393240350634709,0,0,0
3200,0.05,15,0.000451890970604429,0.00105205705980595,0.00027321592596162,0,0,0
400,0.1,15,0.00111690249752402,0.00604617375650306,0.0233685817626326,0,0,0
800,0.1,15,0.00153512010881669,0.00445723219110823,0.00560596873958741,0,0,0
1600,0.1,15,0.00181349332407573,0.00178130780631418,0.000346203162661109,0,0,0
3200,0.1,15,0.000274013751634344,0.000606410865461255,0.000118929270072172,0,0,0
400,0.2,15,0.00298560176778391,0.00437867646071729,0.00663234514505396,0,0,0
800,0.2,15,0.00312833990679929,0.00371459203817632,0.00302809731059225,0,0,0
1600,0.2,15,0.00141362084005587,0.000484794675264628,0.000857287539068554,0,0,0
3200,0.2,15,0.000498919165282755,0.000991449191528894,0.000757459060386536,0,0,0
