"n","lambda","rep","theta","sigma","true_tau","bias","ci_lower","ci_upper","ci_width","coverage","mean_score","sd_score"
800,0.05,8,0.124338938588862,0.636805418978838,0.15,-0.0256610614111378,0.0802113853123937,0.168466491865331,0.088255106552937,1,-7.9727890955894e-17,0.637203795882976
1600,0.05,8,0.137272313177046,0.667132276374707,0.15,-0.0127276868229539,0.10458343231158,0.169961194042512,0.0653777617309324,1,2.10095829622503e-15,0.667340852986456
3200,0.05,8,0.143118644180443,0.638603271922416,0.15,-0.00688135581955676,0.120992576260456,0.165244712100431,0.0442521358399747,1,6.05886868454419e-16,0.638703077076097
800,0.1,8,0.153792359246432,0.668445797967423,0.15,0.00379235924643215,0.107472279857756,0.200112438635108,0.0926401587773523,1,7.6064154974631e-16,0.668863968667044
1600,0.1,8,0.134220683881846,0.638334908163487,0.15,-0.0157793161181543,0.102942848129968,0.165498519633724,0.0625556715037558,1,2.94389512767168e-15,0.638534481377104
3200,0.1,8,0.135613084393967,0.642356834514897,0.15,-0.0143869156060334,0.113356964555183,0.15786920423275,0.0445122396775675,1,1.04844952164562e-15,0.642457226300225
800,0.01,9,0.144885383658401,0.668373792440797,0.15,-0.0051146163415991,0.098570293906461,0.191200473410341,0.0926301795038798,1,1.01637448457481e-16,0.668791918094731
1600,0.01,9,0.16959858621765,0.682466868681803,0.15,0.0195985862176503,0.136158324136196,0.203038848299104,0.066880524162908,1,-1.55306323357252e-15,0.682680239601095
3200,0.01,9,0.147767271017034,0.654548825926861,0.15,-0.00223272898296642,0.125088727990143,0.170445814043924,0.0453570860537814,1,-5.45209710711703e-15,0.654651123157449
800,0.05,9,0.167598214978509,0.683444640945961,0.15,0.0175982149785092,0.120238787897594,0.214957642059424,0.09471885416183,1,-7.01105840050786e-16,0.683872194719995
1600,0.05,9,0.138709407086646,0.646204073206156,0.15,-0.0112905929133537,0.107045989332968,0.170372824840325,0.0633268355073575,1,7.77164790854989e-16,0.64640610668716
3200,0.05,9,0.142958781031486,0.642893064874747,0.15,-0.00704121896851409,0.120684082100041,0.165233479962931,0.0445493978628898,1,-3.03004149548869e-15,0.642993540465713
800,0.1,9,0.117390848096259,0.623929037961764,0.15,-0.0326091519037413,0.0741555661045574,0.16062613008796,0.0864705639834024,1,-4.38538094726937e-17,0.624319359575144
1600,0.1,9,0.124360478514957,0.628048490963085,0.15,-0.0256395214850433,0.0935866679441473,0.155134289085766,0.0615476211416188,1,1.33611871566686e-15,0.628244848163744
3200,0.1,9,0.147101266869328,0.639756456305811,0.15,-0.00289873313067227,0.124935243883162,0.169267289855493,0.044332045972331,1,8.75428202151696e-17,0.639856441686789
800,0.01,10,0.172868497507384,0.692175365913821,0.15,0.0228684975073837,0.124904073170354,0.220832921844414,0.0959288486740602,1,-4.12283054918028e-16,0.692608381511952
1600,0.01,10,0.156108441283944,0.657603440268585,0.15,0.00610844128394436,0.123886464808043,0.188330417759846,0.0644439529518032,1,2.3216498168388e-15,0.657809037722497
3200,0.01,10,0.142220046828749,0.644861020109735,0.15,-0.00777995317125107,0.119877162980146,0.164562930677352,0.0446857676972058,1,9.7680544208778e-16,0.644961803265795
800,0.05,10,0.152661135848899,0.667838792589195,0.15,0.00266113584889929,0.106383119013977,0.198939152683821,0.0925560336698437,1,8.03662691950535e-16,0.668256583554419
1600,0.05,10,0.113134434341803,0.633281399140797,0.15,-0.0368655656581973,0.0821042159819253,0.14416465270168,0.0620604367197548,0,-8.15545547760976e-16,0.6334793923922
3200,0.05,10,0.123568121080588,0.630892169505216,0.15,-0.026431878919412,0.101709224318849,0.145427017842327,0.0437177935234772,0,9.99937979639931e-17,0.63099076951668
